Question 1;Answer Question 1;Question 2;Answer Question 2;Question 3;Answer Question 3;Question 4;Used History Expected;Used History Chatbot Decision;Duration
Can you get rail connections at Wheauls Street?;Wheauls Street has rail connections available.;Does Skuessbridge have rail connections?;Skuessbridge has rail connections available.;What size is Hypask Square?;Hypask Square is a small-sized area.;Can you get rail connections at Wheauls Street and Does Skuessbridge have rail connections and What size is Hypask Square?;True;True;2.3026883602142334
Does Chrietch Bridge have rail connections?;Chrietch Bridge does not have rail connections.;How many stations are between Dyniirn Way and Trauesp Palace?;There are three stations between Dyniirn Way and Trauesp Palace.;What is the cleanliness level of Wraiocts Grove station?;Wraiocts Grove station is highly clean.;Does Chrietch Bridge have rail connections and How many stations are between Dyniirn Way and Trauesp Palace and What is the cleanliness level of Wraiocts Grove station?;True;True;1.5243473052978516
How many stations are between Pruest Bridge and Jeask Palace?;There are four stations between Pruest Bridge and Jeask Palace.;How clean is Mcoeg Crossing?;Mcoeg Crossing is moderately clean.;What music plays at Hroeps Way?;Jazz music plays at Hroeps Way.;How many stations are between Pruest Bridge and Jeask Palace and How clean is Mcoeg Crossing and What music plays at Hroeps Way?;True;True;8.513456583023071
Describe Kliags Bridge station's architectural style.;Kliags Bridge station features Victorian Gothic architecture.;How many sizes of station does Purple Xeiav pass through?;Purple Xeiav passes through stations of four different sizes.;Which stations does Purple Xiour pass through?;Purple Xiour passes through seven stations.;Describe Kliags Bridge station's architectural style and How many sizes of station does Purple Xeiav pass through and Which stations does Purple Xiour pass through?;True;False;1.5277273654937744
Can you get rail connections at Schwarryington?;Schwarryington does not have rail connections.;Which stations does Olive Tuamp pass through?;Olive Tuamp passes through five stations.;Does Kleoslyneyland have rail connections?;Kleoslyneyland has rail connections available.;Can you get rail connections at Schwarryington and Which stations does Olive Tuamp pass through and Does Kleoslyneyland have rail connections?;True;True;1.160513401031494
Does Bluiert Lane have rail connections?;Bluiert Lane has rail connections available.;What music plays at Wraiocts Grove?;Classical music plays at Wraiocts Grove.;Does Mcciays Court have disabled access?;Mcciays Court provides disabled access.;Does Bluiert Lane have rail connections and What music plays at Wraiocts Grove and Does Mcciays Court have disabled access?;True;True;1.3996052742004397
How clean is Ghiigh Way?;Ghiigh Way is exceptionally clean.;Does Spaiarf Manor have disabled access?;Spaiarf Manor offers disabled access.;How many lines is Schmaild Crossing on?;Schmaild Crossing is on two lines.;How clean is Ghiigh Way and Does Spaiarf Manor have disabled access and How many lines is Schmaild Crossing on?;True;True;1.8096394538879397
How clean is Tousch Lane?;Tousch Lane is moderately clean.;What architectural style is Jeiabs Hospital?;Jeiabs Hospital features Neo-classical architecture.;Does Schrioull St have disabled access?;Schrioull St offers disabled access.;How clean is Tousch Lane and What architectural style is Jeiabs Hospital and Does Schrioull St have disabled access?;True;True;1.838001728057861
Describe Siish Boulevard station's architectural style.;Siish Boulevard station is designed in a modern minimalist style.;How clean is Mier Court?;Mier Court is very clean.;How many stations are between Pleiw St and Sceiys Road?;There are four stations between Pleiw St and Sceiys Road.;Describe Siish Boulevard station's architectural style and How clean is Mier Court and How many stations are between Pleiw St and Sceiys Road?;True;True;1.99822998046875
How many lines is Miaor Court on?;Miaor Court is served by three different lines.;Which lines is Mcguierds Crossing on?;Mcguierds Crossing is served by two lines.;What size is Skiesly Palace?;Skiesly Palace is a large-sized area.;How many lines is Miaor Court on and Which lines is Mcguierds Crossing on and What size is Skiesly Palace?;True;True;1.4930412769317627
