Question;Expected Database;Chatbot Decision;Duration
Which products does the ordner with the orderID 10254 contain?;Northwind;Northwind;1.45770525932312
Which suppliers provide more than 10 different products?;Northwind;Northwind;1.3119971752166748
"Give me all purchases of the company """"Antonio Moreno Taqueria""""";Northwind;Northwind;1.0428369045257568
What is the average delivery time for orders from Product to Product?;Northwind;Northwind;1.3731138706207275
Can you list all the products that have a price higher than $9?;Northwind;Northwind;1.513749361038208
Who are the 10 most recent suppliers?;Northwind;Northwind;1.780322551727295
Can you list all the products that have a price higher than $4?;Northwind;Northwind;1.4543256759643557
Which suppliers provide more than 6 different products?;Northwind;Northwind;1.159660816192627
Which suppliers provide more than 3 different products?;Northwind;Northwind;1.614433765411377
Can you list all the products that have a price higher than $1?;Northwind;Northwind;1.73484468460083
"Which products does the supplier """"Pavlova"""" supply?";Northwind;Northwind;0.993647575378418
Can you list all the products that have a price higher than $3?;Northwind;Northwind;1.2189996242523191
Which suppliers provide more than 4 different products?;Northwind;Northwind;1.103994846343994
"What products are part of the category """"Confections""""?";Northwind;Northwind;2.611615896224976
Can you list all the products that have a price higher than $7?;Northwind;Northwind;1.6776890754699707
Can you list all product categories?;Northwind;Northwind;1.5499165058135986
"What is the description of the category """"Grains/Cereals""""?";Northwind;Northwind;1.1340632438659668
Who are the top 10 customers based on the number of orders placed?;Northwind;Northwind;1.577427625656128
Which Product have the highest stock levels?;Northwind;Northwind;1.6875238418579102
Which products are most frequently out of stock?;Northwind;Northwind;1.5758070945739746
Can you list all the products that have a price higher than $6?;Northwind;Northwind;1.1007840633392334
Which products does the ordner with the orderID 10255 contain?;Northwind;Northwind;1.4949827194213867
Who are the top 6 customers based on the number of orders placed?;Northwind;Northwind;1.093472957611084
How many orders were placed in the last year for Product?;Northwind;Northwind;1.3368353843688965
Which suppliers provide more than 7 different products?;Northwind;Northwind;1.5353655815124512
"Give me all purchases of the company """"Around the Horn""""";Northwind;Northwind;1.4036259651184082
Who are the top 3 customers based on the number of orders placed?;Northwind;Northwind;1.8593955039978027
Who are our 7 most recent suppliers?;Northwind;Northwind;1.2565174102783203
What are the most popular products in the Product category?;Northwind;Northwind;3.0240349769592285
Does the supplier Exotic Liquids supply the product Chang?;Northwind;Northwind;1.4965405464172363
Can you identify products that have been discontinued?;Northwind;Northwind;1.998219966888428
Who are the top 8 customers based on the number of orders placed?;Northwind;Northwind;1.577476978302002
"What products are part of the category """"Condiments""""?";Northwind;Northwind;1.768992900848389
Which suppliers provide more than 5 different products?;Northwind;Northwind;1.46730375289917
What factors contribute to the formation of tornadoes?;None;None;1.3559653759002686
How do ancient Egyptian hieroglyphs compare to modern writing systems?;None;None;2.688535213470459
What are the health benefits of a Mediterranean diet?;None;None;1.612961769104004
How do self-driving cars navigate and avoid obstacles?;None;None;1.587829828262329
What is the role of gut bacteria in human digestion?;None;None;2.252142906188965
How do glaciers shape the landscape?;None;None;0.9971086978912354
What are the origins of the Olympic Games?;None;None;1.393484592437744
How does the immune system respond to a viral infection?;None;None;1.162996768951416
What are the principles of Feng Shui in interior design?;None;None;1.3201322555541992
How do different cultures around the world prepare and drink tea?;None;None;2.113716125488281
What movies has Keanu Reeves acted in?;MovieDatabase;MovieDatabase;1.221606731414795
Which movies are categorized under the Sci-Fi genre?;MovieDatabase;MovieDatabase;1.2659006118774414
How many movies has Carrie-Anne Moss directed?;MovieDatabase;MovieDatabase;1.1796023845672607
"Who directed the movie ""The Matrix Reloaded""?";MovieDatabase;MovieDatabase;1.0527794361114502
"What are the genres of the movie ""The Devil's Advocate""?";MovieDatabase;MovieDatabase;1.5141336917877195
Find all the movies with a rating higher than 8.;MovieDatabase;MovieDatabase;2.1139039993286133
Which movies did Laurence Fishburne direct?;MovieDatabase;MovieDatabase;1.6474785804748535
When was the actor Keanu Reeves born?;MovieDatabase;MovieDatabase;1.1587347984313965
"How many votes did the movie ""The Matrix Reloaded"" receive?";MovieDatabase;MovieDatabase;1.5432708263397217
"Who directed the movie ""Wall Street""?";MovieDatabase;MovieDatabase;1.7820684909820557
"What is the tagline of the movie ""What Dreams May Come""?";MovieDatabase;MovieDatabase;1.2772114276885986
In which movies has Carrie-Anne Moss acted?;MovieDatabase;MovieDatabase;1.4935178756713867
"When was the movie ""The Devil's Advocate"" released?";MovieDatabase;MovieDatabase;1.9023442268371584
"How many votes did the movie ""Wall Street"" receive?";MovieDatabase;MovieDatabase;1.7200641632080078
"Did Hugo Weaving act in, direct, or produce ""The Matrix Reloaded""?";MovieDatabase;MovieDatabase;1.3313384056091309
"What is the tagline of the movie ""The Devil's Advocate""?";MovieDatabase;MovieDatabase;1.1246767044067385
What year was the actor Hugo Weaving born?;MovieDatabase;MovieDatabase;1.548165798187256
Which movies has Joel Silver produced?;MovieDatabase;MovieDatabase;1.6314494609832764
"What is the release year of the movie ""Wall Street""?";MovieDatabase;MovieDatabase;1.4223387241363523
"Did Carrie-Anne Moss act in ""What Dreams May Come""?";MovieDatabase;MovieDatabase;1.3185877799987793
What movies were directed by Laurence Fishburne?;MovieDatabase;MovieDatabase;1.690743923187256
"When was the movie ""The Devil's Advocate"" released?";MovieDatabase;MovieDatabase;2.886091709136963
"How many votes did the movie ""What Dreams May Come"" receive?";MovieDatabase;MovieDatabase;2.0976078510284424
Has Keanu Reeves ever directed a movie?;MovieDatabase;MovieDatabase;1.6126060485839844
What is the actor Joel Silver's birth year?;MovieDatabase;MovieDatabase;1.9623725414276123
Which movies feature Hugo Weaving as an actor?;MovieDatabase;MovieDatabase;1.0826735496520996
"Did Laurence Fishburne act in or direct ""Wall Street""?";MovieDatabase;MovieDatabase;1.3026928901672363
How many movies has Carrie-Anne Moss acted in since 2000?;MovieDatabase;MovieDatabase;2.6827385425567627
"In what year was the movie ""The Matrix Reloaded"" released?";MovieDatabase;MovieDatabase;2.267872095108032
"Who produced the movie ""The Devil's Advocate""?";MovieDatabase;MovieDatabase;3.71376371383667
What movies has Keanu Reeves acted in that were released in the 2000s?;MovieDatabase;MovieDatabase;1.5912771224975586
"Did Hugo Weaving act in ""What Dreams May Come""?";MovieDatabase;MovieDatabase;1.960313081741333
"How many votes did the movie ""The Matrix Reloaded"" receive in total?";MovieDatabase;MovieDatabase;2.179171323776245
List all the movies directed by Joel Silver.;MovieDatabase;MovieDatabase;1.623769760131836
What is the birth year of the actor Carrie-Anne Moss?;MovieDatabase;MovieDatabase;2.4757487773895264
Which movies starring Laurence Fishburne were released in the 1990s?;MovieDatabase;MovieDatabase;1.461240530014038
"Did Keanu Reeves act in or direct ""Wall Street""?";MovieDatabase;MovieDatabase;1.847450256347656
What movies has Hugo Weaving acted in with a Sci-Fi theme?;MovieDatabase;MovieDatabase;2.8381290435791016
In which movies did Carrie-Anne Moss play a leading role?;MovieDatabase;MovieDatabase;1.132972002029419
"What is the release year of the movie ""What Dreams May Come""?";MovieDatabase;MovieDatabase;1.5408704280853271
List all the movies produced by Joel Silver.;MovieDatabase;MovieDatabase;1.7658636569976809
What movies has Laurence Fishburne acted in that have won awards?;MovieDatabase;MovieDatabase;1.3256258964538574
Did Hugo Weaving direct any movies released in the 2000s?;MovieDatabase;MovieDatabase;1.2995102405548096
What is the birth year of the actor Laurence Fishburne?;MovieDatabase;MovieDatabase;2.7619199752807617
Which movies starring Carrie-Anne Moss have a Romance theme?;MovieDatabase;MovieDatabase;1.5734195709228516
Who directed the movies that Joel Silver produced?;MovieDatabase;MovieDatabase;1.865642070770264
"Who wrote the script for the movie ""The Matrix Reloaded""?";MovieDatabase;MovieDatabase;1.200042486190796
Which movies feature Keanu Reeves in a leading role?;MovieDatabase;MovieDatabase;2.255677461624145
Has Hugo Weaving ever been involved in a movie as a producer?;MovieDatabase;MovieDatabase;1.9500112533569336
How many films has Carrie-Anne Moss acted in that were released before 2000?;MovieDatabase;MovieDatabase;2.2041773796081543
Who directed the movies in which Joel Silver acted?;MovieDatabase;MovieDatabase;1.6367368698120115
"When was the movie ""Wall Street"" released?";MovieDatabase;MovieDatabase;1.3922843933105469
How many movies has Joel Silver produced?;MovieDatabase;MovieDatabase;1.654773235321045
What movies starring Carrie-Anne Moss were released in the 1990s?;MovieDatabase;MovieDatabase;1.0452454090118408
"Who wrote the script for the movie ""The Devil's Advocate""?";MovieDatabase;MovieDatabase;2.2655460834503174
"How many awards has the movie ""What Dreams May Come"" won?";MovieDatabase;MovieDatabase;1.6757009029388428
"What's the tagline for the movie ""Wall Street""?";MovieDatabase;MovieDatabase;1.5823969841003418
"In what year was the movie ""The Devil's Advocate"" released?";MovieDatabase;MovieDatabase;1.8779821395874023
What movies feature Hugo Weaving in a supporting role?;MovieDatabase;MovieDatabase;1.4033198356628418
Which films has Joel Silver directed?;MovieDatabase;MovieDatabase;2.5274105072021484
"How many votes did the movie ""What Dreams May Come"" get?";MovieDatabase;MovieDatabase;1.6451711654663086
"Did Carrie-Anne Moss act in ""The Devil's Advocate""?";MovieDatabase;MovieDatabase;0.9664130210876464
What year was the actor Laurence Fishburne born?;MovieDatabase;MovieDatabase;1.364870548248291
Which movies has Keanu Reeves reviewed?;MovieDatabase;MovieDatabase;1.6442668437957764
How many films has Hugo Weaving acted in since 2010?;MovieDatabase;MovieDatabase;1.437378168106079
"Did Keanu Reeves act in or produce ""What Dreams May Come""?";MovieDatabase;MovieDatabase;1.5504658222198486
"What's the tagline for the movie ""What Dreams May Come""?";MovieDatabase;MovieDatabase;1.316847324371338
When was the actor Keanu Reeves born?;MovieDatabase;MovieDatabase;1.287947177886963
"How many votes did the movie ""The Matrix"" receive?";MovieDatabase;MovieDatabase;1.051931858062744
"What is the tagline of the movie ""The Matrix Reloaded""?";MovieDatabase;MovieDatabase;1.367178201675415
"When was the movie ""The Matrix Revolutions"" released?";MovieDatabase;MovieDatabase;1.5838208198547363
"Did Carrie-Anne Moss act in the movie ""The Devil's Advocate""?";MovieDatabase;MovieDatabase;1.6974155902862549
What movies has Laurence Fishburne directed?;MovieDatabase;MovieDatabase;1.355624437332153
"How many votes did the movie ""A Few Good Men"" receive?";MovieDatabase;MovieDatabase;1.2821953296661377
"What is the tagline of the movie ""Top Gun""?";MovieDatabase;MovieDatabase;1.9526023864746092
"When was the movie ""Jerry Maguire"" released?";MovieDatabase;MovieDatabase;1.3285253047943115
In which movies has Hugo Weaving acted?;MovieDatabase;MovieDatabase;2.104733467102051
What year was the actor Lilly Wachowski born?;MovieDatabase;MovieDatabase;1.1337695121765137
Which movies has Lana Wachowski directed?;MovieDatabase;MovieDatabase;1.9563469886779783
"How many votes did the movie ""Joe Versus the Volcano"" get?";MovieDatabase;MovieDatabase;1.472606897354126
"What is the tagline of the movie ""When Harry Met Sally""?";MovieDatabase;MovieDatabase;1.3879196643829346
"When was the movie ""That Thing You Do"" released?";MovieDatabase;MovieDatabase;13.121756076812744
"Did Joel Silver produce ""The Replacements""?";MovieDatabase;MovieDatabase;1.4633586406707764
What movies has Emil Eifrem acted in?;MovieDatabase;MovieDatabase;1.1474215984344482
"How many votes did the movie ""Rescue Dawn"" receive?";MovieDatabase;MovieDatabase;1.7424266338348389
"What is the tagline of the movie ""The Birdcage""?";MovieDatabase;MovieDatabase;1.1844584941864014
"When was the movie ""Unforgiven"" released?";MovieDatabase;MovieDatabase;2.5749027729034424
In which movies has Charlize Theron acted?;MovieDatabase;MovieDatabase;1.2279577255249023
"How many votes did the movie ""Johnny Mnemonic"" receive?";MovieDatabase;MovieDatabase;1.3348195552825928
"What is the tagline of the movie ""Cloud Atlas""?";MovieDatabase;MovieDatabase;1.283092975616455
"When was ""The Da Vinci Code"" released?";MovieDatabase;MovieDatabase;1.2351396083831787
