Question;Answer Question;Followup Question;Used History Expected;Used History Chatbot Decision;Duration
Can you get rail connections at Wheauls Street?;Wheauls Street has rail connections available.;Can you get rail connections at Wheauls Street?;True;False;1.4137165546417236
Does Chrietch Bridge have rail connections?;Chrietch Bridge does not have rail connections.;Does Chrietch Bridge have rail connections?;True;True;1.3361608982086182
How many stations are between Pruest Bridge and Jeask Palace?;There are four stations between Pruest Bridge and Jeask Palace.;How many stations are between Pruest Bridge and Jeask Palace?;True;True;1.6879427433013916
Describe Kliags Bridge station's architectural style.;Kliags Bridge station features Victorian Gothic architecture.;Describe Kliags Bridge station's architectural style.;True;True;1.4576618671417236
Can you get rail connections at Schwarryington?;Schwarryington does not have rail connections.;Can you get rail connections at Schwarryington?;True;True;1.7639882564544678
Does Bluiert Lane have rail connections?;Bluiert Lane has rail connections available.;Does Bluiert Lane have rail connections?;True;True;1.735936403274536
How clean is Ghiigh Way?;Ghiigh Way is exceptionally clean.;How clean is Ghiigh Way?;True;False;1.4893763065338137
How clean is Tousch Lane?;Tousch Lane is moderately clean.;How clean is Tousch Lane?;True;False;2.2609031200408936
Describe Siish Boulevard station's architectural style.;Siish Boulevard station is designed in a modern minimalist style.;Describe Siish Boulevard station's architectural style.;True;True;1.2852120399475098
How many lines is Miaor Court on?;Miaor Court is served by three different lines.;How many lines is Miaor Court on?;True;True;1.9824650287628172
Does Khords Court have rail connections?;Khords Court has rail connections available.;Does Khords Court have rail connections?;True;False;1.0663611888885498
How many lines is Fiallsneyland on?;Fiallsneyland is served by two lines.;How many lines is Fiallsneyland on?;True;True;1.7237305641174316
Describe Szuoch Bridge station's architectural style.;Szuoch Bridge station exhibits an Art Deco architectural style.;Describe Szuoch Bridge station's architectural style.;True;True;2.559929609298706
What music plays at Dwuiews Bridge?;Classical music plays at Dwuiews Bridge.;What music plays at Dwuiews Bridge?;True;True;2.245861291885376
