Question;Used History Expected;Used History Chatbot Decision;Duration
Can you get rail connections at Wheauls Street?;False;False;1.3589670658111572
Does Chrietch Bridge have rail connections?;False;False;1.0820083618164062
How many stations are between Pruest Bridge and Jeask Palace?;False;False;2.7514936923980717
Describe Kliags Bridge station's architectural style.;False;False;1.169389724731445
Can you get rail connections at Schwarryington?;False;False;1.9508123397827148
Does Bluiert Lane have rail connections?;False;False;1.1098825931549072
How clean is Ghiigh Way?;False;False;1.3258388042449951
How clean is Tousch Lane?;False;False;1.4523556232452393
Describe Siish Boulevard station's architectural style.;False;False;1.731978416442871
How many lines is Miaor Court on?;False;False;1.1649110317230225
Does Khords Court have rail connections?;False;False;1.3429577350616455
How many lines is Fiallsneyland on?;False;False;1.0832757949829102
Describe Szuoch Bridge station's architectural style.;False;False;1.487863302230835
What music plays at Dwuiews Bridge?;False;False;1.4672672748565674
Which stations does Red Hrouly pass through?;False;False;1.433211088180542
Describe Skiesly Palace station's architectural style.;False;False;1.5362141132354736
How many stations are between Rheirst Lane and Mcfial St?;False;False;2.612591028213501
Is there disabled access at Hyuolt Manor?;False;False;1.7314786911010742
What is the cleanliness level of Twaizbridge station?;False;False;1.0218846797943115
Are Montlyham and Schmiarfington on the same line?;False;False;1.6621308326721191
Are Klaucs On Trent and Glauehl Way on the same line?;False;False;1.3168952465057373
Does Siish Boulevard have disabled access?;False;False;2.6224260330200195
Is there disabled access at Cliick On Trent?;False;False;1.1687862873077393
What size is Sift Boulevard?;False;False;1.518007516860962
Does Trauesp Palace have rail connections?;False;False;1.102163314819336
How clean is Rheirst Lane?;False;False;1.6551823616027832
What size is Kliags Bridge?;False;False;3.358472347259521
Can you get rail connections at Cuinnton?;False;False;1.6695654392242432
Describe Jeod On Trent station's architectural style.;False;False;3.4039645195007324
Can you get rail connections at Debington?;False;False;1.016734600067139
What architectural style is Kleompton?;False;False;3.8970582485198975
Is there disabled access at Xaath Way?;False;False;2.0734660625457764
Is there disabled access at Mcgeegsington?;False;False;1.2813570499420166
What music plays at Schruaks Grove?;False;False;1.8445308208465576
Does Looks Square have disabled access?;False;False;2.967517614364624
How many stations are between Mcgeegsington and Dynieucks St?;False;False;1.4936678409576416
Describe Slairt Estate station's architectural style.;False;False;1.6927049160003662
How many sizes of station does Purple Psycharts pass through?;False;False;1.6565251350402832
What size is Glauehl Way?;False;False;1.7250924110412598
How many sizes of station does Pink Dreark pass through?;False;False;1.4199161529541016
Which lines is Jeiabs Hospital on?;False;False;1.2462170124053955
What is the cleanliness level of Diocs Estate station?;False;False;1.731489658355713
Are Chrietch Bridge and Spieuhl St on the same line?;False;False;1.4260997772216797
Which stations does Blue Twauect pass through?;False;False;1.4239020347595217
How many stations are between Klioc Palace and Krep Bridge?;False;False;1.5252954959869385
What architectural style is Spieuhl St?;False;False;1.952908277511597
How clean is Soillsham?;False;False;1.86846661567688
How big is Soillsham?;False;False;1.484534502029419
How many stations are between Schruaks Grove and Schmeelly Court?;False;False;1.376805305480957
How many lines is Schlaiosm Hospital on?;False;False;1.10834002494812
What is the cleanliness level of Chraets Square station?;False;False;1.382986307144165
How many architectural styles does Purple Xiour pass through?;False;False;1.832463026046753
Are Pfaorts Court and Klaucs On Trent on the same line?;False;False;1.076993703842163
Does Xaath Way have rail connections?;False;False;1.279374599456787
Are Fruirtyneyland and Theunn Crossing on the same line?;False;False;1.7715685367584229
What is the cleanliness level of Sqearn Bridge station?;False;False;1.2940664291381836
How big is Wreastton?;False;False;1.7136263847351074
Is there disabled access at Whiaop Street?;False;False;2.0081613063812256
How many music styles does Blue Twauect pass through?;False;False;1.0552785396575928
How many sizes of station does Green Criengs pass through?;False;False;1.2891886234283447
How many architectural styles does Cyan Hypory pass through?;False;False;1.5652079582214355
What size is Trauesp Palace?;False;False;1.462848424911499
Describe Jauedy Hospital station's architectural style.;False;False;2.589265823364258
Are Typairn Estate and Kroakswich on the same line?;False;False;1.2825021743774414
How many stations are between Pfeirty International and Schlaiosm Hospital?;False;False;1.299337387084961
How many architectural styles does Green Mcgoimp pass through?;False;False;2.340131998062134
How many lines is Wrotz Upon Thames on?;False;False;1.1776752471923828
Which stations does Pink Dreark pass through?;False;False;1.8340213298797607
Is there disabled access at Froam Lane?;False;False;1.2081499099731443
How clean is Wrotz Upon Thames?;False;False;1.3309452533721924
How clean is Gloiatsneyland?;False;False;1.6188480854034424
How many lines is Cuinnton on?;False;False;0.9754748344421388
Can you get rail connections at Hypiap Grove?;False;False;1.8690414428710935
What is the cleanliness level of Mcciays Court station?;False;False;1.306671380996704
