question;cypher;group;answer;cleaned_query;duration_query_generation;db_result;syntax_error;timeout_error;duration_query_execution;chat_generation_answer;duration_chat_answer;Human Evaluation
What size is Cliick On Trent?;"MATCH (var1) WHERE var1.name=""Cliick On Trent""  WITH 1 AS foo, var1.size AS var2 RETURN var2";;medium-sized;"MATCH (s:STATION {name: ""Cliick On Trent""}) RETURN s.size;
";2.6939151287078857;"[{""s.size"": ""medium-sized""}]";False;False;0.1192829608917236;Click On Trent is a medium-sized entity.;1.168208360671997;Correct
How many music styles does Red Briudly pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Red Briudly""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.music AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;6;"MATCH (:STATION {name: ""Red Briudly""})-[:EDGE*]-(s:STATION)
RETURN COUNT(DISTINCT s.music) AS music_styles
";2.3056602478027344;"[{""music_styles"": 0}]";False;False;0.179142951965332;Red Briudly passes through zero music styles.;1.1559503078460691;Incorrect
How many music styles does Pink Dreark pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Pink Dreark""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.music AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;8;"MATCH (:STATION {name: ""Pink Dreark""})-[:EDGE*]-(s:STATION)
RETURN COUNT(DISTINCT s.music) AS musicStyles
";3.6786563396453857;"[{""musicStyles"": 0}]";False;False;0.0680041313171386;Pink Dreark passes through zero music styles.;1.2214457988739014;Incorrect
Describe Looks Square station's architectural style.;"MATCH (var1) WHERE var1.name=""Looks Square""  WITH 1 AS foo, var1.architecture AS var2 RETURN var2";;modernist;"MATCH (s:STATION {name: ""Looks Square""}) RETURN s.architecture AS ArchitectureStyle
";2.949986219406128;"[{""ArchitectureStyle"": ""modernist""}]";False;False;0.0279724597930908;Looks Square station features a modernist architectural style.;1.3808770179748535;Correct
Is there disabled access at Miaor Court?;"MATCH (var1) WHERE var1.name=""Miaor Court""  WITH 1 AS foo, var1.disabled_access AS var2 RETURN var2";;False;"MATCH (s:STATION {name: ""Miaor Court""})
RETURN s.disabled_access AS DisabledAccess
";1.6939189434051514;"[{""DisabledAccess"": false}]";False;False;0.0298807621002197;No, Miaor Court does not have disabled access.;1.4452018737792969;Correct
How many music styles does Blue Twauect pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Blue Twauect""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.music AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;7;"MATCH (:LINE {name: ""Blue Twauect""})<-[:EDGE]-(:STATION)-[:EDGE]->(s:STATION)
RETURN COUNT(DISTINCT s.music) AS music_styles
";2.7748591899871826;"[{""music_styles"": 0}]";False;False;0.0926859378814697;Blue Twauect passes through zero music styles.;2.6647348403930664;Incorrect
Does Ploewn St have rail connections?;"MATCH (var1) WHERE var1.name=""Ploewn St""  WITH 1 AS foo, var1.has_rail AS var2 RETURN var2";;False;"MATCH (s:STATION {name: ""Ploewn St""})-[:EDGE]-(connected:STATION)
RETURN s.name AS Station, s.has_rail AS HasRail, connected.name AS ConnectedStation
";5.30195164680481;"[{""Station"": ""Ploewn St"", ""HasRail"": false, ""ConnectedStation"": ""Kleoslyneyland""}]";False;False;0.0489661693572998;No, Ploewn St does not have rail connections. However, it is connected to Kleoslyneyland by other means of transportation.;4.864074230194092;Correct
How big is Whoubbridge?;"MATCH (var1) WHERE var1.name=""Whoubbridge""  WITH 1 AS foo, var1.size AS var2 RETURN var2";;tiny;"MATCH (s:STATION {name: ""Whoubbridge""})
RETURN s.size AS size
";3.1281116008758545;"[{""size"": ""tiny""}]";False;False;0.0313303470611572;Whoubbridge is tiny.;0.8890106678009033;Correct
What is the cleanliness level of Cliick On Trent station?;"MATCH (var1) WHERE var1.name=""Cliick On Trent""  WITH 1 AS foo, var1.cleanliness AS var2 RETURN var2";;shabby;"MATCH (s:STATION {name: ""Cliick On Trent""}) RETURN s.cleanliness AS CleanlinessLevel
";2.634565830230713;"[{""CleanlinessLevel"": ""shabby""}]";False;False;0.0308620929718017;The cleanliness level of Click On Trent station is currently considered shabby.;1.2414028644561768;Correct
How many stations are between Snoiarty St and Groitz Lane?;"MATCH (var1) MATCH (var2) MATCH tmp1 = shortestPath((var1)-[*]-(var2))  WHERE var1.name=""Snoiarty St"" AND var2.name=""Groitz Lane""  WITH 1 AS foo, tmp1 AS var3 UNWIND nodes(var3) AS var4  RETURN length(collect(var4))  - 2";MultiStep;5;"MATCH path = (start:STATION {name: 'Snoiarty St'})-[:EDGE*]-(end:STATION {name: 'Groitz Lane'})
RETURN LENGTH(path) - 1 AS stationsBetween
";9.791607856750488;;False;True;;;;Incorrect
What architectural style is Claass Boulevard?;"MATCH (var1) WHERE var1.name=""Claass Boulevard""  WITH 1 AS foo, var1.architecture AS var2 RETURN var2";;new;"MATCH (s:STATION {name: ""Claass Boulevard""})
RETURN s.architecture AS architectural_style
";2.27524471282959;"[{""architectural_style"": ""new""}]";False;False;0.031567096710205;Claass Boulevard is designed in a new architectural style.;2.649360656738281;Correct
Which lines is Whoubbridge on?;"MATCH (var1) WHERE var1.name=""Whoubbridge""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  RETURN var5";;['Orange Dwomp'];"MATCH (:STATION {name: ""Whoubbridge""})-[:EDGE]->(:STATION)<-[:EDGE]-(:LINE) RETURN DISTINCT line.name
";3.638507843017578;;True;False;;;;Incorrect
Are Pfeirty International and Thruolly Lane on the same line?;"MATCH (var1) WHERE var1.name=""Pfeirty International""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  MATCH (var6) WHERE var6.name=""Thruolly Lane""  MATCH (var6)-[var7]-() WITH 1 AS foo, var5, var7.line_name AS var8  WITH 1 AS foo, var5, var8 AS var9 WITH DISTINCT var9 as var10, 1 AS foo, var5  WITH 1 AS foo, length(apoc.coll.intersection(collect(var5), collect(var10))) > 0 AS var11 RETURN var11";;False;"MATCH (s1:STATION {name: 'Pfeirty International'})-[:EDGE]-(e:EDGE)-[:EDGE]-(s2:STATION {name: 'Thruolly Lane'})
RETURN e.line_name AS LineName, COUNT(e) > 0 AS OnSameLine
";5.178803205490112;[];False;False;0.1011815071105957;I don't know the answer.;1.880347728729248;Incorrect
What architectural style is Mcdaorryington?;"MATCH (var1) WHERE var1.name=""Mcdaorryington""  WITH 1 AS foo, var1.architecture AS var2 RETURN var2";;glass;"MATCH (s:STATION {name: ""Mcdaorryington""}) RETURN s.architecture AS architecture_style
";2.317936897277832;"[{""architecture_style"": ""glass""}]";False;False;0.028644323348999;Mcdaorryington features a glass architectural style.;1.1646349430084229;Correct
How many lines is Frauel Lane on?;"MATCH (var1) WHERE var1.name=""Frauel Lane""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  RETURN length(collect(var5)) ";;1;"MATCH (:STATION {name: ""Frauel Lane""})-[:EDGE]->(:STATION)
RETURN count(DISTINCT e.line_id) AS lineCount
";3.331136465072632;;True;False;;;;Incorrect
How clean is Knaapt Manor?;"MATCH (var1) WHERE var1.name=""Knaapt Manor""  WITH 1 AS foo, var1.cleanliness AS var2 RETURN var2";;rat-infested;"MATCH (s:STATION {name: ""Knaapt Manor""})
RETURN s.cleanliness AS Cleanliness
";2.611932277679444;"[{""Cleanliness"": ""rat-infested""}]";False;False;0.0235424041748046;Knaapt Manor is currently dealing with a rat infestation issue.;1.4926478862762451;Correct
Are Soillsham and Cuinnton on the same line?;"MATCH (var1) WHERE var1.name=""Soillsham""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  MATCH (var6) WHERE var6.name=""Cuinnton""  MATCH (var6)-[var7]-() WITH 1 AS foo, var5, var7.line_name AS var8  WITH 1 AS foo, var5, var8 AS var9 WITH DISTINCT var9 as var10, 1 AS foo, var5  WITH 1 AS foo, length(apoc.coll.intersection(collect(var5), collect(var10))) > 0 AS var11 RETURN var11";;False;"MATCH (s1:STATION)-[e1:EDGE]-(s2:STATION), (s3:STATION)-[e2:EDGE]-(s4:STATION)
WHERE s1.name = 'Soillsham' AND s3.name = 'Cuinnton' AND e1.line_id = e2.line_id
RETURN e1.line_id AS shared_line_id, e1.line_name AS shared_line_name
";11.552640199661257;[];False;False;0.1263463497161865;I don't know the answer.;1.274857521057129;Incorrect
How many lines is Yatz Boulevard on?;"MATCH (var1) WHERE var1.name=""Yatz Boulevard""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  RETURN length(collect(var5)) ";;1;"MATCH (:STATION {name: ""Yatz Boulevard""})-[:EDGE]-(:LINE) 
RETURN COUNT(DISTINCT line_id) AS NumberOfLines
";2.7028987407684326;;True;False;;;;Incorrect
