Question 1;Answer Question 1;Question 2;Answer Question 2;Question 3;Used History Expected;Used History Chatbot Decision;Duration
Can you get rail connections at Wheauls Street?;Wheauls Street has rail connections available.;Does Skuessbridge have rail connections?;Skuessbridge has rail connections available.;Can you get rail connections at Wheauls Street and does skuessbridge have rail connections?;True;True;3.008506774902344
Does Chrietch Bridge have rail connections?;Chrietch Bridge does not have rail connections.;How many stations are between Dyniirn Way and Trauesp Palace?;There are three stations between Dyniirn Way and Trauesp Palace.;Does Chrietch Bridge have rail connections and how many stations are between dyniirn way and trauesp palace?;True;True;1.3426854610443115
How many stations are between Pruest Bridge and Jeask Palace?;There are four stations between Pruest Bridge and Jeask Palace.;How clean is Mcoeg Crossing?;Mcoeg Crossing is moderately clean.;How many stations are between Pruest Bridge and Jeask Palace and how clean is mcoeg crossing?;True;True;1.3926846981048584
Describe Kliags Bridge station's architectural style.;Kliags Bridge station features Victorian Gothic architecture.;How many sizes of station does Purple Xeiav pass through?;Purple Xeiav passes through stations of four different sizes.;Describe Kliags Bridge station's architectural style. and how many sizes of station does purple xeiav pass through?;True;True;2.4111502170562744
Can you get rail connections at Schwarryington?;Schwarryington does not have rail connections.;Which stations does Olive Tuamp pass through?;Olive Tuamp passes through five stations.;Can you get rail connections at Schwarryington and which stations does olive tuamp pass through?;True;False;1.565429925918579
Does Bluiert Lane have rail connections?;Bluiert Lane has rail connections available.;What music plays at Wraiocts Grove?;Classical music plays at Wraiocts Grove.;Does Bluiert Lane have rail connections and what music plays at wraiocts grove?;True;True;2.130643844604492
How clean is Ghiigh Way?;Ghiigh Way is exceptionally clean.;Does Spaiarf Manor have disabled access?;Spaiarf Manor offers disabled access.;How clean is Ghiigh Way and does spaiarf manor have disabled access?;True;True;2.316392183303833
How clean is Tousch Lane?;Tousch Lane is moderately clean.;What architectural style is Jeiabs Hospital?;Jeiabs Hospital features Neo-classical architecture.;How clean is Tousch Lane and what architectural style is jeiabs hospital?;True;True;3.804758071899414
Describe Siish Boulevard station's architectural style.;Siish Boulevard station is designed in a modern minimalist style.;How clean is Mier Court?;Mier Court is very clean.;Describe Siish Boulevard station's architectural style. and how clean is mier court?;True;True;1.1704754829406738
How many lines is Miaor Court on?;Miaor Court is served by three different lines.;Which lines is Mcguierds Crossing on?;Mcguierds Crossing is served by two lines.;How many lines is Miaor Court on and which lines is mcguierds crossing on?;True;True;1.3437869548797607
Does Khords Court have rail connections?;Khords Court has rail connections available.;How big is Psychiaongs Court?;Psychiaongs Court is a large-sized area.;Does Khords Court have rail connections and how big is psychiaongs court?;True;False;1.7113163471221924
How many lines is Fiallsneyland on?;Fiallsneyland is served by two lines.;Which lines is Cziengly Road on?;Cziengly Road is served by three lines.;How many lines is Fiallsneyland on and which lines is cziengly road on?;True;True;1.7966766357421875
Describe Szuoch Bridge station's architectural style.;Szuoch Bridge station exhibits an Art Deco architectural style.;How many architectural styles does Pink Whiel pass through?;Pink Whiel passes through six different architectural styles.;Describe Szuoch Bridge station's architectural style. and how many architectural styles does pink whiel pass through?;True;True;1.5006718635559082
What music plays at Dwuiews Bridge?;Classical music plays at Dwuiews Bridge.;Does Bliurty Bridge have rail connections?;Bliurty Bridge has rail connections available.;What music plays at Dwuiews Bridge and does bliurty bridge have rail connections?;True;True;2.0103914737701416
Which stations does Red Hrouly pass through?;Red Hrouly passes through seven different stations.;Is there disabled access at Kreolly St?;Kreolly St provides disabled access.;Which stations does Red Hrouly pass through and is there disabled access at kreolly st?;True;False;1.8226478099823
Describe Skiesly Palace station's architectural style.;Skiesly Palace station features a futuristic design.;Which stations does Red Hrouly pass through?;Red Hrouly passes through seven stations.;Describe Skiesly Palace station's architectural style. and which stations does red hrouly pass through?;True;False;1.4914066791534424
How many stations are between Rheirst Lane and Mcfial St?;There are six stations between Rheirst Lane and Mcfial St.;At Dyniaopt On Trent what sort of music plays?;Jazz music plays at Dyniaopt On Trent.;How many stations are between Rheirst Lane and Mcfial St and at dyniaopt on trent what sort of music plays?;True;True;2.331991672515869
Is there disabled access at Hyuolt Manor?;Hyuolt Manor provides disabled access.;How many sizes of station does Orange Dwomp pass through?;Orange Dwomp passes through stations of three different sizes.;Is there disabled access at Hyuolt Manor and how many sizes of station does orange dwomp pass through?;True;True;1.40008282661438
What is the cleanliness level of Twaizbridge station?;Twaizbridge station is highly clean.;How big is Fraiopt Court?;Fraiopt Court is a medium-sized area.;What is the cleanliness level of Twaizbridge station and how big is fraiopt court?;True;True;1.5094683170318604
Are Montlyham and Schmiarfington on the same line?;Montlyham and Schmiarfington are on different lines.;How many music styles does Orange Screic pass through?;Orange Screic features four different music styles.;Are Montlyham and Schmiarfington on the same line and how many music styles does orange screic pass through?;True;True;1.5028066635131836
