question;cypher;group;answer;cleaned_query;duration_query_generation;db_result;syntax_error;timeout_error;duration_query_execution;chat_generation_answer;duration_chat_answer;Human Evaluation
What size is Cliick On Trent?;"MATCH (var1) WHERE var1.name=""Cliick On Trent""  WITH 1 AS foo, var1.size AS var2 RETURN var2";;medium-sized;"MATCH (station:STATION {name: ""Cliick On Trent""})
RETURN station.size AS Size
";1.655073165893555;"[{""Size"": ""medium-sized""}]";False;False;0.0205569267272949;Click On Trent is medium-sized.;0.8485255241394043;Correct
How many music styles does Red Briudly pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Red Briudly""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.music AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;6;"MATCH (s1:STATION)-[e:EDGE]->(s2:STATION) WHERE e.line_name = 'Red Briudly' UNWIND [s1.music, s2.music] AS musicStyle
RETURN COUNT(DISTINCT musicStyle)
";3.774593114852905;"[{""COUNT(DISTINCT musicStyle)"": 6}]";False;False;0.0123004913330078;Red Briudly passes through six distinct music styles.;1.3551549911499023;Correct
How many music styles does Pink Dreark pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Pink Dreark""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.music AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;8;"MATCH (s1:STATION)-[e:EDGE]->(s2:STATION) WHERE e.line_name = 'Pink Dreark' UNWIND [s1.music, s2.music] AS musicStyle
RETURN COUNT(DISTINCT musicStyle)
";3.069700002670288;"[{""COUNT(DISTINCT musicStyle)"": 8}]";False;False;0.0123426914215087;Pink Dreark passes through eight distinct music styles.;1.1290745735168457;Correct
Describe Looks Square station's architectural style.;"MATCH (var1) WHERE var1.name=""Looks Square""  WITH 1 AS foo, var1.architecture AS var2 RETURN var2";;modernist;"MATCH (station:STATION {name: ""Looks Square""})
RETURN station.name AS Station, station.architecture AS ArchitecturalStyle
";1.625002384185791;"[{""Station"": ""Looks Square"", ""ArchitecturalStyle"": ""modernist""}]";False;False;0.0152804851531982;Looks Square station features a modernist architectural style.;0.9140625;Correct
Is there disabled access at Miaor Court?;"MATCH (var1) WHERE var1.name=""Miaor Court""  WITH 1 AS foo, var1.disabled_access AS var2 RETURN var2";;False;"MATCH (station:STATION {name: ""Miaor Court""})
RETURN station.name AS Station, station.disabled_access AS DisabledAccess
";2.472954273223877;"[{""Station"": ""Miaor Court"", ""DisabledAccess"": false}]";False;False;0.0177502632141113;No, there is no disabled access at Miaor Court.;1.193758487701416;Correct
How many music styles does Blue Twauect pass through?;"MATCH ()-[var1]-()  MATCH (var2:LINE) WHERE var2.name=""Blue Twauect""  WITH 1 AS foo, var1, var2.id AS var3 WHERE var1.line_id = var3  MATCH (var4)-[var1]-() WITH 1 AS foo, var4.music AS var5  WITH 1 AS foo, var5 AS var6 WITH DISTINCT var6 as var7, 1 AS foo  RETURN length(collect(var7)) ";;7;"MATCH (s1:STATION)-[e:EDGE]->(s2:STATION) WHERE e.line_name = 'Blue Twauect' UNWIND [s1.music, s2.music] AS musicStyle
RETURN COUNT(DISTINCT musicStyle)
";4.499837160110474;"[{""COUNT(DISTINCT musicStyle)"": 7}]";False;False;0.0105066299438476;Blue Twauect passes through seven distinct music styles.;1.8792736530303955;Correct
Does Ploewn St have rail connections?;"MATCH (var1) WHERE var1.name=""Ploewn St""  WITH 1 AS foo, var1.has_rail AS var2 RETURN var2";;False;"MATCH (s1:STATION {name: ""Ploewn St""})-[:EDGE]->(s2:STATION)
RETURN s1.name AS Station, s2.name AS ConnectedStation, s1.has_rail AS HasRail
";4.528496503829956;[];False;False;0.0220589637756347;I don't know the answer.;0.9308514595031738;Incorrect
How big is Whoubbridge?;"MATCH (var1) WHERE var1.name=""Whoubbridge""  WITH 1 AS foo, var1.size AS var2 RETURN var2";;tiny;"MATCH (s:STATION {name: ""Whoubbridge""})
RETURN s.size AS Size
";2.0096120834350586;"[{""Size"": ""tiny""}]";False;False;0.0159573554992675;Whoubbridge is tiny.;1.23606538772583;Correct
What is the cleanliness level of Cliick On Trent station?;"MATCH (var1) WHERE var1.name=""Cliick On Trent""  WITH 1 AS foo, var1.cleanliness AS var2 RETURN var2";;shabby;"MATCH (station:STATION {name: ""Cliick On Trent""})
RETURN station.name AS StationName, station.cleanliness AS CleanlinessLevel
";2.469281911849976;"[{""StationName"": ""Cliick On Trent"", ""CleanlinessLevel"": ""shabby""}]";False;False;0.0170128345489501;The cleanliness level of Cliick On Trent station is currently considered shabby.;1.3676714897155762;Correct
How many stations are between Snoiarty St and Groitz Lane?;"MATCH (var1) MATCH (var2) MATCH tmp1 = shortestPath((var1)-[*]-(var2))  WHERE var1.name=""Snoiarty St"" AND var2.name=""Groitz Lane""  WITH 1 AS foo, tmp1 AS var3 UNWIND nodes(var3) AS var4  RETURN length(collect(var4))  - 2";MultiStep;5;"MATCH path = shortestPath((start:STATION {name: 'Snoiarty St'})-[:EDGE*..50]-(end:STATION {name: 'Groitz Lane'}))
RETURN LENGTH(path) - 1 AS stationsBetween
";3.4949655532836914;"[{""stationsBetween"": 5}]";False;False;0.012911319732666;There are 5 stations between Snoiarty Street and Groitz Lane.;1.3892741203308103;Correct
What architectural style is Claass Boulevard?;"MATCH (var1) WHERE var1.name=""Claass Boulevard""  WITH 1 AS foo, var1.architecture AS var2 RETURN var2";;new;"MATCH (station:STATION {name: ""Claass Boulevard""})
RETURN station.architecture AS ArchitecturalStyle
";2.49971866607666;"[{""ArchitecturalStyle"": ""new""}]";False;False;0.0142710208892822;Claass Boulevard is designed in a new architectural style.;1.4733588695526123;Correct
Which lines is Whoubbridge on?;"MATCH (var1) WHERE var1.name=""Whoubbridge""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  RETURN var5";;['Orange Dwomp'];"MATCH (:STATION {name: ""Whoubbridge""})-[r:EDGE]-()
RETURN DISTINCT r.line_name AS LineName
";4.189416170120239;"[{""LineName"": ""Orange Dwomp""}]";False;False;0.0095126628875732;The Orange Dwomp line serves Whoubbridge.;1.2283785343170166;Correct
Are Pfeirty International and Thruolly Lane on the same line?;"MATCH (var1) WHERE var1.name=""Pfeirty International""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  MATCH (var6) WHERE var6.name=""Thruolly Lane""  MATCH (var6)-[var7]-() WITH 1 AS foo, var5, var7.line_name AS var8  WITH 1 AS foo, var5, var8 AS var9 WITH DISTINCT var9 as var10, 1 AS foo, var5  WITH 1 AS foo, length(apoc.coll.intersection(collect(var5), collect(var10))) > 0 AS var11 RETURN var11";;False;"MATCH (s1:STATION {name: ""Pfeirty International""})-[r:EDGE]-(s2:STATION {name: ""Thruolly Lane""})
RETURN COUNT(DISTINCT r.line_id) > 0 AS OnSameLine
";3.767367362976074;"[{""OnSameLine"": false}]";False;False;0.0105061531066894;No, Pfeirty International and Thruolly Lane are not on the same line.;1.892993688583374;Correct
What architectural style is Mcdaorryington?;"MATCH (var1) WHERE var1.name=""Mcdaorryington""  WITH 1 AS foo, var1.architecture AS var2 RETURN var2";;glass;"MATCH (s:STATION {name: ""Mcdaorryington""})
RETURN s.architecture AS ArchitecturalStyle
";2.383559226989746;"[{""ArchitecturalStyle"": ""glass""}]";False;False;0.014066457748413;The architectural style of Mcdaorryington is characterized by the use of glass.;1.2103204727172852;Correct
How many lines is Frauel Lane on?;"MATCH (var1) WHERE var1.name=""Frauel Lane""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  RETURN length(collect(var5)) ";;1;"MATCH (:STATION {name: ""Frauel Lane""})-[r:EDGE]-()
RETURN COUNT(DISTINCT r.line_id) AS NumberOfLines
";2.6214938163757324;"[{""NumberOfLines"": 1}]";False;False;0.0079982280731201;Frauel Lane is on one line.;0.7740833759307861;Correct
How clean is Knaapt Manor?;"MATCH (var1) WHERE var1.name=""Knaapt Manor""  WITH 1 AS foo, var1.cleanliness AS var2 RETURN var2";;rat-infested;"MATCH (station:STATION {name: ""Knaapt Manor""})
RETURN station.name AS Station, station.cleanliness AS Cleanliness
";2.107699155807495;"[{""Station"": ""Knaapt Manor"", ""Cleanliness"": ""rat-infested""}]";False;False;0.0157155990600585;Knaapt Manor is currently dealing with a rat infestation, indicating that it's not in the cleanest condition.;1.831504821777344;Correct
Are Soillsham and Cuinnton on the same line?;"MATCH (var1) WHERE var1.name=""Soillsham""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  MATCH (var6) WHERE var6.name=""Cuinnton""  MATCH (var6)-[var7]-() WITH 1 AS foo, var5, var7.line_name AS var8  WITH 1 AS foo, var5, var8 AS var9 WITH DISTINCT var9 as var10, 1 AS foo, var5  WITH 1 AS foo, length(apoc.coll.intersection(collect(var5), collect(var10))) > 0 AS var11 RETURN var11";;False;"MATCH (s1:STATION {name: ""Soillsham""})-[r:EDGE]-(s2:STATION {name: ""Cuinnton""})
RETURN COUNT(DISTINCT r.line_id) > 0 AS OnSameLine
";4.952620506286621;"[{""OnSameLine"": false}]";False;False;0.0278334617614746;No, Soillsham and Cuinnton are not on the same line.;2.21063232421875;Correct
How many lines is Yatz Boulevard on?;"MATCH (var1) WHERE var1.name=""Yatz Boulevard""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  RETURN length(collect(var5)) ";;1;"MATCH (:STATION {name: ""Yatz Boulevard""})-[r:EDGE]-()
RETURN COUNT(DISTINCT r.line_id) AS NumberOfLines
";2.568812370300293;"[{""NumberOfLines"": 1}]";False;False;0.0090174674987792;Yatz Boulevard is on one line.;1.9654767513275144;Correct
Can you get rail connections at Rhuol Palace?;"MATCH (var1) WHERE var1.name=""Rhuol Palace""  WITH 1 AS foo, var1.has_rail AS var2 RETURN var2";;False;"MATCH (s1:STATION {name: ""Rhuol Palace""})-[:EDGE]->(s2:STATION)
RETURN s1.name AS Station, s2.name AS ConnectedStation, s1.has_rail AS HasRail
";3.995418071746826;"[{""Station"": ""Rhuol Palace"", ""ConnectedStation"": ""Fiallsneyland"", ""HasRail"": false}]";False;False;0.008514404296875;No, you cannot get rail connections at Rhuol Palace.;2.262303590774536;Correct
What is the cleanliness level of Thorr On Trent station?;"MATCH (var1) WHERE var1.name=""Thorr On Trent""  WITH 1 AS foo, var1.cleanliness AS var2 RETURN var2";;derilict;"MATCH (station:STATION {name: ""Thorr On Trent""})
RETURN station.cleanliness AS CleanlinessLevel
";5.571084976196289;"[{""CleanlinessLevel"": ""derilict""}]";False;False;0.0160362720489501;The cleanliness level of Thorr On Trent station is currently considered derelict.;1.9828736782073972;Correct
Which lines is Schlaiosm Hospital on?;"MATCH (var1) WHERE var1.name=""Schlaiosm Hospital""  MATCH (var1)-[var2]-() WITH 1 AS foo, var2.line_name AS var3  WITH 1 AS foo, var3 AS var4 WITH DISTINCT var4 as var5, 1 AS foo  RETURN var5";;['Purple Psycharts'];"MATCH (:STATION {name: ""Schlaiosm Hospital""})-[r:EDGE]-()
RETURN DISTINCT r.line_name AS LineName
";2.5368096828460693;"[{""LineName"": ""Purple Psycharts""}]";False;False;0.0095303058624267;Schlaiosm Hospital is on the Purple Psycharts line.;1.3831031322479248;Correct
